type,news,shared_site_name,source
real,Gazze’de sağlanan ateşkes sonrası Suriye'nin başkenti Şam'daki Emevi Meydanı'nda kutlama yapıldı,https://t.co/GVwaGyT1lG,AA
real,Hamas ve İsrail arasında anlaşma sağlandığının duyurulması Fas'ta sevinçle karşılandı,https://t.co/omyAR4NXll,AA
real,Gazze'de Hamas ile İsrail arasında varılan ateşkes anlaşmasının duyurulmasının ardından İstanbul'da araçlarıyla İsrail Konsolosluğu önüne gelen vatandaşlar sevinç gösterisinde bulundu,https://t.co/UkQJnOnWSW,AA
real,Hamas ve İsrail arasında anlaşma sağlandığının duyurulması Lübnan'da sevinçle karşılandı,https://t.co/afEqmk38Pp,AA
real,İsrail’in Gazze’ye düzenlediği saldırılarda yaşamını yitiren gazeteciler Ahmed Ebu Rus ve Ahmet Şeyyah için cenaze törenleri düzenlendi,https://t.co/xjSuhkjOp5,AA
real,📍 Fransa 📍 Suriye📍 Lübnan📍 Filistin📍 Tunus📍 Bosna-Hersek📍 TürkiyeGazze'deki Hamas ile İsrail arasında varılan ateşkes anlaşmasının ardından meydanlarda sevinç gösterileri düzenlendi,https://t.co/GFLnBaSdQj,AA
real,"Filistinliler, Ramallah ve Deyr Balah sokaklarında Hamas ve İsrail arasındaki anlaşmayı kutladı",https://t.co/JRmnPGHhZO,AA
real,Gazze'de 15 ay boyunca sivilleri hedef alan İsrail geride insani felaket ve enkaz bırakıyor ⤵️▪️ 47 bin Filistinli hayatını kaybetti▪️ 110 bin 453 kişi yaralandı▪️ 10 binden fazla katliamda 1600 aile yok oldu🔗,https://t.co/Hob7Jx7dpN,AA
real,"❝Arkamda (hapishanede) 78 kadın esir bıraktım, 8'i Kudüs'ten, 3'ü Gazze'den, 2'si İsrail içindeki Filistinlilerden ve hepsi özgürlüklerini bekliyorlar❞İsrail hapishanesinde """"suçsuz"""" yere 1 yıl yatan Filistinli kadın avukat Diyala Ayiş serbest bırakıldı",https://t.co/riaDOHMx2n,AA
real,"İsrail tarafından yerinden edilen Filistinlilerin, Gazze’nin güney bölgelerinden kuzeydeki evlerine dönüşü sürüyor",https://t.co/tE85ravpIx,AA
real,"İsrail ordusunun işgal altındaki Batı Şeria’nın kuzeyindeki Cenin Mülteci Kampı’na insansız hava aracıyla düzenlediği saldırıda, 9 Filistinli hayatını kaybetti, 40 kişi yaralandı",https://t.co/4AUTlZj9g1,AA
real,"İsrail, Hamas'ın serbest bıraktığı 3 esirin teslim alındığını açıkladı",https://t.co/hdVTAD1Z1F,AA
real,"📍 Paris Paris'te, Gazze'deki Hamas ile İsrail arasında varılan ateşkes anlaşmasının ardından vatandaşlar, Place de la Republique meydanında kutlama gerçekleştirdi",https://t.co/Z67fbzWBdd,AA
real,"İsrail, Gazze'de ateşkesi ihlal ediyor▪️ Refah'ta İsrailli keskin nişancıların açtığı ateş sonucu bir çocuk hayatını kaybetti▪️ İsrail ordusu, çocuğun cenazesini almaya çalışan bir kişiye de ateş açarak yaraladı",https://t.co/jRMqYszTha,AA
real,📍 İstanbu📍 KahramanmaraşGazze’de Hamas ile İsrail arasında varılan ateşkes anlaşmasının ardından vatandaşlar sevinç gösterileri düzenledi,https://t.co/luZKz8ZFnJ,AA
real,"İsrail’in yerinden ettiği Filistinliler, güney bölgelerden Gazze’nin kuzeyindeki evlerine geri dönmeye başladı",https://t.co/lnda3ddeDZ,AA
real,Gazze Şeridi’nin kuzeyinde yer alan Meşru Beyt Lahya bölgesinde İsrail'in alıkoyduğu Filistinlilerden geriye kalan kıyafetler görüntülendiAA Muhabiri Abdulkadir Sabbah detayları aktardı,https://t.co/BdXldt99mL,AA
real,"Netanyahu'dan Biden'a: Siz de Berlin'i bombaladınızBiden, son TV röportajında Netanyahu ile konuşmasını aktardı:— Bibi, hedef gözetmeksizin bu insanları bombalayamazsın dedim. O da, “Siz de Berlin'i bombaladınız, nükleer bomba attınız.” dedi.",https://t.co/0I9GTDHN4y,AA
real,"İsrail ordusunun, ateşkes ve esir takası anlaşmasını ihlal ederek, kuzeydeki evlerine dönmeyi bekleyen Filistinlilere ateş açması sonucu biri çocuk, 5 kişi yaralandı",https://t.co/dGIEpw99SL,AA
